month,total_orders,total_revenue
2016-09-01 00:00:00+00:00,6,354.75
2016-10-01 00:00:00+00:00,363,56808.84
2016-12-01 00:00:00+00:00,1,19.62
2017-01-01 00:00:00+00:00,955,137188.49
2017-02-01 00:00:00+00:00,1951,286280.62
2017-03-01 00:00:00+00:00,3000,432048.59
2017-04-01 00:00:00+00:00,2684,412422.24
2017-05-01 00:00:00+00:00,4136,586190.95
2017-06-01 00:00:00+00:00,3583,502963.04
2017-07-01 00:00:00+00:00,4519,584971.62
2017-08-01 00:00:00+00:00,4910,668204.60
2017-09-01 00:00:00+00:00,4831,720398.91
2017-10-01 00:00:00+00:00,5322,769312.37
2017-11-01 00:00:00+00:00,8665,1179143.77
2017-12-01 00:00:00+00:00,6308,863547.23
2018-01-01 00:00:00+00:00,8208,1107301.89
2018-02-01 00:00:00+00:00,7672,986908.96
2018-03-01 00:00:00+00:00,8217,1155126.82
2018-04-01 00:00:00+00:00,7975,1159698.04
2018-05-01 00:00:00+00:00,7925,1149781.82
2018-06-01 00:00:00+00:00,7078,1022677.11
2018-07-01 00:00:00+00:00,7092,1058728.03
2018-08-01 00:00:00+00:00,7248,1003308.47
2018-09-01 00:00:00+00:00,1,166.46
